id,total,nome
31,103096,Minas Gerais
35,98021,São Paulo
33,87405,Rio de Janeiro
42,70990,Santa Catarina
43,66446,Rio Grande do Sul
21,61200,Maranhão
41,59984,Paraná
29,51310,Bahia
26,50811,Pernambuco
23,50536,Ceará
32,47511,Espírito Santo
52,41977,Goiás
15,35764,Pará
27,34450,Alagoas
51,34156,Mato Grosso
13,31355,Amazonas
25,29687,Paraíba
50,26434,Mato Grosso do Sul
22,25137,Piauí
28,24216,Sergipe
24,23552,Rio Grande do Norte
53,19906,Distrito Federal
12,18834,Acre
14,16674,Roraima
11,16622,Rondônia
17,15446,Tocantins
16,7677,Amapá
